Sales Person,Country,Product,Date,Amount,Boxes Shipped,Month,Year,Day
Madelene Upcott,USA,Almond Choco,2022-05-31,101430,24,May,2022,Tuesday
Van Tuxwell,New Zealand,50% Dark Bites,2022-07-11,36260,10,July,2022,Monday
Karlen McCaffrey,Canada,Caramel Stuffed Bars,2022-03-02,33460,304,March,2022,Wednesday
Madelene Upcott,Australia,Raspberry Choco,2022-07-13,63210,88,July,2022,Wednesday
Rafaelita Blaksland,UK,Spicy Special Slims,2022-08-03,93450,133,August,2022,Wednesday
Curtice Advani,UK,Peanut Butter Cubes,2022-03-01,150080,165,March,2022,Tuesday
Kelci Walkden,New Zealand,White Choc,2022-04-13,76090,150,April,2022,Wednesday
Beverie Moffet,Canada,Fruit & Nut Bars,2022-02-14,103320,180,February,2022,Monday
Mallorie Waber,India,White Choc,2022-07-26,8190,213,July,2022,Tuesday
Brien Boise,UK,Drinking Coco,2022-01-27,57540,133,January,2022,Thursday
Jehu Rudeforth,India,Peanut Butter Cubes,2022-04-14,280,446,April,2022,Thursday
Oby Sorrel,USA,Almond Choco,2022-05-19,64400,141,May,2022,Thursday
Husein Augar,India,Eclairs,2022-02-09,49560,58,February,2022,Wednesday
Brien Boise,UK,Spicy Special Slims,2022-05-25,23520,58,May,2022,Wednesday
Oby Sorrel,Australia,Manuka Honey Choco,2022-01-26,39060,76,January,2022,Wednesday
Beverie Moffet,India,White Choc,2022-07-04,18130,296,July,2022,Monday
Ches Bonnell,India,Almond Choco,2022-04-13,117880,73,April,2022,Wednesday
Gigi Bohling,Australia,Smooth Sliky Salty,2022-01-25,57680,119,January,2022,Tuesday
Camilla Castle,USA,85% Dark Bars,2022-04-25,24010,78,April,2022,Monday
Camilla Castle,USA,Eclairs,2022-06-10,45150,392,June,2022,Friday
Madelene Upcott,New Zealand,White Choc,2022-08-22,107940,51,August,2022,Monday
Van Tuxwell,India,After Nines,2022-06-27,137060,207,June,2022,Monday
Husein Augar,India,Orange Choco,2022-06-30,43610,40,June,2022,Thursday
Jehu Rudeforth,India,Almond Choco,2022-08-30,101220,100,August,2022,Tuesday
Karlen McCaffrey,Australia,Raspberry Choco,2022-08-23,9940,57,August,2022,Tuesday
Camilla Castle,New Zealand,99% Dark & Pure,2022-08-26,22680,42,August,2022,Friday
Gigi Bohling,Australia,Orange Choco,2022-03-09,5740,156,March,2022,Wednesday
Kelci Walkden,UK,Drinking Coco,2022-04-20,17920,23,April,2022,Wednesday
Mallorie Waber,Canada,Caramel Stuffed Bars,2022-06-10,48440,539,June,2022,Friday
Husein Augar,Australia,Organic Choco Syrup,2022-02-08,9380,158,February,2022,Tuesday
Brien Boise,Australia,White Choc,2022-08-25,48790,22,August,2022,Thursday
Dotty Strutley,India,Peanut Butter Cubes,2022-02-16,91070,73,February,2022,Wednesday
Dennison Crosswaite,UK,99% Dark & Pure,2022-05-30,121870,27,May,2022,Monday
Gigi Bohling,New Zealand,50% Dark Bites,2022-06-29,56700,64,June,2022,Wednesday
Gigi Bohling,USA,Milk Bars,2022-06-16,4760,133,June,2022,Thursday
Brien Boise,UK,Caramel Stuffed Bars,2022-03-04,26810,149,March,2022,Friday
Curtice Advani,New Zealand,Peanut Butter Cubes,2022-03-15,15330,434,March,2022,Tuesday
Curtice Advani,New Zealand,50% Dark Bites,2022-01-27,97650,85,January,2022,Thursday
Beverie Moffet,Canada,Drinking Coco,2022-07-05,9940,118,July,2022,Tuesday
Barr Faughny,USA,Caramel Stuffed Bars,2022-03-29,33180,299,March,2022,Tuesday
Mallorie Waber,Canada,Almond Choco,2022-05-12,42140,35,May,2022,Thursday
Oby Sorrel,USA,Drinking Coco,2022-03-11,77140,44,March,2022,Friday
Brien Boise,New Zealand,Eclairs,2022-07-11,46900,299,July,2022,Monday
Gunar Cockshoot,New Zealand,Choco Coated Almonds,2022-08-01,130620,62,August,2022,Monday
Gunar Cockshoot,UK,Spicy Special Slims,2022-02-16,124880,200,February,2022,Wednesday
Curtice Advani,USA,After Nines,2022-04-13,141470,235,April,2022,Wednesday
Oby Sorrel,India,Choco Coated Almonds,2022-02-14,490,363,February,2022,Monday
Ches Bonnell,Australia,Peanut Butter Cubes,2022-03-14,101990,68,March,2022,Monday
Oby Sorrel,Australia,Spicy Special Slims,2022-04-26,113890,26,April,2022,Tuesday
Jehu Rudeforth,Canada,Manuka Honey Choco,2022-04-05,35840,200,April,2022,Tuesday
Camilla Castle,Canada,Drinking Coco,2022-03-03,124810,264,March,2022,Thursday
Kaine Padly,USA,Spicy Special Slims,2022-06-13,21070,175,June,2022,Monday
Marney O'Breen,New Zealand,70% Dark Bites,2022-02-14,86030,352,February,2022,Monday
Roddy Speechley,New Zealand,99% Dark & Pure,2022-04-18,74830,183,April,2022,Monday
Oby Sorrel,New Zealand,85% Dark Bars,2022-02-01,33810,417,February,2022,Tuesday
Dotty Strutley,New Zealand,Orange Choco,2022-08-04,20300,146,August,2022,Thursday
Andria Kimpton,New Zealand,Almond Choco,2022-04-05,65590,158,April,2022,Tuesday
Karlen McCaffrey,Australia,99% Dark & Pure,2022-01-26,108220,168,January,2022,Wednesday
Kaine Padly,UK,After Nines,2022-01-21,186970,176,January,2022,Friday
Kaine Padly,Canada,After Nines,2022-08-22,58450,172,August,2022,Monday
Kaine Padly,UK,Drinking Coco,2022-01-27,23170,224,January,2022,Thursday
Rafaelita Blaksland,UK,50% Dark Bites,2022-02-16,101500,68,February,2022,Wednesday
Dotty Strutley,USA,Raspberry Choco,2022-01-03,34370,46,January,2022,Monday
Karlen McCaffrey,USA,White Choc,2022-08-24,45920,2,August,2022,Wednesday
Oby Sorrel,USA,Spicy Special Slims,2022-02-07,56910,417,February,2022,Monday
Mallorie Waber,Australia,Smooth Sliky Salty,2022-02-11,41580,109,February,2022,Friday
Kaine Padly,Canada,Organic Choco Syrup,2022-03-29,56840,81,March,2022,Tuesday
Marney O'Breen,USA,Peanut Butter Cubes,2022-06-15,6930,350,June,2022,Wednesday
Dennison Crosswaite,UK,Smooth Sliky Salty,2022-04-26,5460,142,April,2022,Tuesday
Brien Boise,Australia,Organic Choco Syrup,2022-07-15,42630,264,July,2022,Friday
Beverie Moffet,India,Organic Choco Syrup,2022-06-23,10360,20,June,2022,Thursday
Dennison Crosswaite,Australia,Baker's Choco Chips,2022-01-11,138460,421,January,2022,Tuesday
Beverie Moffet,UK,50% Dark Bites,2022-02-09,24990,271,February,2022,Wednesday
Van Tuxwell,UK,Almond Choco,2022-06-06,106890,204,June,2022,Monday
Dotty Strutley,UK,Caramel Stuffed Bars,2022-08-10,57680,235,August,2022,Wednesday
Wilone O'Kielt,Australia,Smooth Sliky Salty,2022-01-04,22260,46,January,2022,Tuesday
Andria Kimpton,Canada,70% Dark Bites,2022-04-08,102620,15,April,2022,Friday
Barr Faughny,UK,Milk Bars,2022-03-02,38640,430,March,2022,Wednesday
Van Tuxwell,Canada,Drinking Coco,2022-06-15,49000,709,June,2022,Wednesday
Jehu Rudeforth,Australia,After Nines,2022-02-14,52500,47,February,2022,Monday
Husein Augar,UK,After Nines,2022-07-05,35070,380,July,2022,Tuesday
Barr Faughny,India,Mint Chip Choco,2022-01-12,74130,465,January,2022,Wednesday
Curtice Advani,India,Mint Chip Choco,2022-03-03,81550,96,March,2022,Thursday
Jehu Rudeforth,New Zealand,Milk Bars,2022-05-18,24780,188,May,2022,Wednesday
Gunar Cockshoot,India,Caramel Stuffed Bars,2022-07-28,24710,202,July,2022,Thursday
Curtice Advani,UK,Manuka Honey Choco,2022-02-07,16660,106,February,2022,Monday
Andria Kimpton,India,Orange Choco,2022-05-30,3010,421,May,2022,Monday
Mallorie Waber,Australia,Raspberry Choco,2022-04-25,84000,27,April,2022,Monday
Beverie Moffet,Canada,85% Dark Bars,2022-02-16,61390,45,February,2022,Wednesday
Kelci Walkden,Australia,Drinking Coco,2022-05-04,12880,60,May,2022,Wednesday
Van Tuxwell,Canada,70% Dark Bites,2022-06-02,70770,77,June,2022,Thursday
Dennison Crosswaite,USA,Caramel Stuffed Bars,2022-07-11,23170,464,July,2022,Monday
Beverie Moffet,New Zealand,Spicy Special Slims,2022-06-07,630,60,June,2022,Tuesday
Jan Morforth,UK,Almond Choco,2022-07-06,97440,157,July,2022,Wednesday
Husein Augar,India,Raspberry Choco,2022-06-15,99540,154,June,2022,Wednesday
Dotty Strutley,India,Mint Chip Choco,2022-04-14,12600,239,April,2022,Thursday
Camilla Castle,India,Drinking Coco,2022-08-08,4690,163,August,2022,Monday
Marney O'Breen,UK,Drinking Coco,2022-03-29,9730,28,March,2022,Tuesday
Roddy Speechley,Australia,Organic Choco Syrup,2022-07-04,36470,76,July,2022,Monday
Ches Bonnell,India,99% Dark & Pure,2022-02-16,4550,96,February,2022,Wednesday
Rafaelita Blaksland,Canada,Spicy Special Slims,2022-05-02,25200,156,May,2022,Monday
Van Tuxwell,India,Eclairs,2022-07-21,105000,106,July,2022,Thursday
Gunar Cockshoot,Australia,99% Dark & Pure,2022-08-18,79520,235,August,2022,Thursday
Kaine Padly,USA,85% Dark Bars,2022-06-22,4830,259,June,2022,Wednesday
Camilla Castle,UK,Peanut Butter Cubes,2022-07-19,48720,126,July,2022,Tuesday
Madelene Upcott,UK,Peanut Butter Cubes,2022-08-12,77560,85,August,2022,Friday
Madelene Upcott,USA,Choco Coated Almonds,2022-06-07,54460,132,June,2022,Tuesday
Marney O'Breen,Canada,Peanut Butter Cubes,2022-03-08,65940,91,March,2022,Tuesday
Ches Bonnell,Australia,Choco Coated Almonds,2022-04-08,14700,167,April,2022,Friday
Curtice Advani,Canada,Eclairs,2022-05-06,7210,203,May,2022,Friday
Roddy Speechley,India,Drinking Coco,2022-05-31,44940,11,May,2022,Tuesday
Van Tuxwell,Australia,Mint Chip Choco,2022-01-13,26740,295,January,2022,Thursday
Dennison Crosswaite,USA,70% Dark Bites,2022-03-15,6580,77,March,2022,Tuesday
Andria Kimpton,Canada,Peanut Butter Cubes,2022-02-16,11270,319,February,2022,Wednesday
Gigi Bohling,USA,70% Dark Bites,2022-01-14,73640,196,January,2022,Friday
Rafaelita Blaksland,Australia,White Choc,2022-03-21,68180,102,March,2022,Monday
Roddy Speechley,Canada,Drinking Coco,2022-05-17,67760,312,May,2022,Tuesday
Camilla Castle,New Zealand,85% Dark Bars,2022-08-08,150990,55,August,2022,Monday
Madelene Upcott,Canada,Milk Bars,2022-04-26,36120,82,April,2022,Tuesday
Madelene Upcott,Australia,70% Dark Bites,2022-04-15,37100,260,April,2022,Friday
Oby Sorrel,Canada,Eclairs,2022-05-19,61110,591,May,2022,Thursday
Dennison Crosswaite,Canada,Drinking Coco,2022-01-10,27020,24,January,2022,Monday
Mallorie Waber,New Zealand,After Nines,2022-05-04,4830,228,May,2022,Wednesday
Roddy Speechley,Canada,White Choc,2022-04-05,58870,268,April,2022,Tuesday
Andria Kimpton,India,After Nines,2022-01-17,9520,68,January,2022,Monday
Roddy Speechley,India,Spicy Special Slims,2022-03-22,106470,173,March,2022,Tuesday
Dotty Strutley,Australia,White Choc,2022-07-05,60550,93,July,2022,Tuesday
Oby Sorrel,Canada,Orange Choco,2022-04-27,87570,338,April,2022,Wednesday
Kaine Padly,Canada,Almond Choco,2022-08-12,60550,73,August,2022,Friday
Jan Morforth,UK,Baker's Choco Chips,2022-03-11,7210,251,March,2022,Friday
Jehu Rudeforth,UK,Fruit & Nut Bars,2022-05-13,85890,229,May,2022,Friday
Dennison Crosswaite,USA,Smooth Sliky Salty,2022-05-12,117810,91,May,2022,Thursday
Brien Boise,USA,Raspberry Choco,2022-01-12,6720,194,January,2022,Wednesday
Madelene Upcott,New Zealand,Milk Bars,2022-03-29,125580,403,March,2022,Tuesday
Roddy Speechley,India,50% Dark Bites,2022-03-14,83370,12,March,2022,Monday
Barr Faughny,New Zealand,99% Dark & Pure,2022-05-24,81340,195,May,2022,Tuesday
Dennison Crosswaite,Canada,Organic Choco Syrup,2022-01-28,84910,75,January,2022,Friday
Beverie Moffet,India,Almond Choco,2022-05-24,30660,96,May,2022,Tuesday
Brien Boise,Australia,Peanut Butter Cubes,2022-08-19,3010,205,August,2022,Friday
Karlen McCaffrey,Australia,Spicy Special Slims,2022-05-17,44100,323,May,2022,Tuesday
Jehu Rudeforth,USA,White Choc,2022-06-07,65590,119,June,2022,Tuesday
Ches Bonnell,Canada,Organic Choco Syrup,2022-07-26,5740,217,July,2022,Tuesday
Dotty Strutley,India,Eclairs,2022-07-28,20860,384,July,2022,Thursday
Karlen McCaffrey,India,70% Dark Bites,2022-05-23,50750,344,May,2022,Monday
