Sales Person,Country,Product,Date,Amount,Boxes Shipped
Kaine Padly,USA,Spicy Special Slims,6/13/2022," $ 2,107.00 ",175
Marney O'Breen,New Zealand,70% Dark Bites,2/14/2022," $ 8,603.00 ",352
Roddy Speechley,New Zealand,99% Dark & Pure,4/18/2022," $ 7,483.00 ",183
Oby Sorrel,New Zealand,85% Dark Bars,2/1/2022," $ 3,381.00 ",417
Dotty Strutley,New Zealand,Orange Choco,8/4/2022," $ 2,030.00 ",146
Andria Kimpton,New Zealand,Almond Choco,4/5/2022," $ 6,559.00 ",158
Karlen McCaffrey,Australia,99% Dark & Pure,1/26/2022," $ 10,822.00 ",168
Kaine Padly,UK,After Nines,1/21/2022," $ 18,697.00 ",176
Kaine Padly,Canada,After Nines,8/22/2022," $ 5,845.00 ",172
Kaine Padly,UK,Drinking Coco,1/27/2022," $ 2,317.00 ",224
Rafaelita Blaksland,UK,50% Dark Bites,2/16/2022," $ 10,150.00 ",68
Dotty Strutley,USA,Raspberry Choco,1/3/2022," $ 3,437.00 ",46
Karlen McCaffrey,USA,White Choc,8/24/2022," $ 4,592.00 ",2
Oby Sorrel,USA,Spicy Special Slims,2/7/2022," $ 5,691.00 ",417
Mallorie Waber,Australia,Smooth Sliky Salty,2/11/2022," $ 4,158.00 ",109
Kaine Padly,Canada,Organic Choco Syrup,3/29/2022," $ 5,684.00 ",81
Marney O'Breen,USA,Peanut Butter Cubes,6/15/2022, $ 693.00 ,350
Dennison Crosswaite,UK,Smooth Sliky Salty,4/26/2022, $ 546.00 ,142
Brien Boise,Australia,Organic Choco Syrup,7/15/2022," $ 4,263.00 ",264
Beverie Moffet,India,Organic Choco Syrup,6/23/2022," $ 1,036.00 ",20
Dennison Crosswaite,Australia,Baker's Choco Chips,1/11/2022," $ 13,846.00 ",421
Beverie Moffet,UK,50% Dark Bites,2/9/2022," $ 2,499.00 ",271
Van Tuxwell,UK,Almond Choco,6/6/2022," $ 10,689.00 ",204
Dotty Strutley,UK,Caramel Stuffed Bars,8/10/2022," $ 5,768.00 ",235
Wilone O'Kielt,Australia,Smooth Sliky Salty,1/4/2022," $ 2,226.00 ",46
Andria Kimpton,Canada,70% Dark Bites,4/8/2022," $ 10,262.00 ",15
Barr Faughny,UK,Milk Bars,3/2/2022," $ 3,864.00 ",430
Van Tuxwell,Canada,Drinking Coco,6/15/2022," $ 4,900.00 ",709
Jehu Rudeforth,Australia,After Nines,2/14/2022," $ 5,250.00 ",47
Husein Augar,UK,After Nines,7/5/2022," $ 3,507.00 ",380
Barr Faughny,India,Mint Chip Choco,1/12/2022," $ 7,413.00 ",465
Curtice Advani,India,Mint Chip Choco,3/3/2022," $ 8,155.00 ",96
Jehu Rudeforth,New Zealand,Milk Bars,5/18/2022," $ 2,478.00 ",188
Gunar Cockshoot,India,Caramel Stuffed Bars,7/28/2022," $ 2,471.00 ",202
Curtice Advani,UK,Manuka Honey Choco,2/7/2022," $ 1,666.00 ",106
Andria Kimpton,India,Orange Choco,5/30/2022, $ 301.00 ,421
Mallorie Waber,Australia,Raspberry Choco,4/25/2022," $ 8,400.00 ",27
Beverie Moffet,Canada,85% Dark Bars,2/16/2022," $ 6,139.00 ",45
Kelci Walkden,Australia,Drinking Coco,5/4/2022," $ 1,288.00 ",60
Van Tuxwell,Canada,70% Dark Bites,6/2/2022," $ 7,077.00 ",77
Dennison Crosswaite,USA,Caramel Stuffed Bars,7/11/2022," $ 2,317.00 ",464
Beverie Moffet,New Zealand,Spicy Special Slims,6/7/2022, $ 63.00 ,60
Jan Morforth,UK,Almond Choco,7/6/2022," $ 9,744.00 ",157
Husein Augar,India,Raspberry Choco,6/15/2022," $ 9,954.00 ",154
Dotty Strutley,India,Mint Chip Choco,4/14/2022," $ 1,260.00 ",239
Camilla Castle,India,Drinking Coco,8/8/2022, $ 469.00 ,163
Marney O'Breen,UK,Drinking Coco,3/29/2022, $ 973.00 ,28
Roddy Speechley,Australia,Organic Choco Syrup,7/4/2022," $ 3,647.00 ",76
Ches Bonnell,India,99% Dark & Pure,2/16/2022, $ 455.00 ,96
Rafaelita Blaksland,Canada,Spicy Special Slims,5/2/2022," $ 2,520.00 ",156
Van Tuxwell,India,Eclairs,7/21/2022," $ 10,500.00 ",106
Gunar Cockshoot,Australia,99% Dark & Pure,8/18/2022," $ 7,952.00 ",235
Kaine Padly,USA,85% Dark Bars,6/22/2022, $ 483.00 ,259
Camilla Castle,UK,Peanut Butter Cubes,7/19/2022," $ 4,872.00 ",126
Madelene Upcott,UK,Peanut Butter Cubes,8/12/2022," $ 7,756.00 ",85
Madelene Upcott,USA,Choco Coated Almonds,6/7/2022," $ 5,446.00 ",132
Marney O'Breen,Canada,Peanut Butter Cubes,3/8/2022," $ 6,594.00 ",91
Ches Bonnell,Australia,Choco Coated Almonds,4/8/2022," $ 1,470.00 ",167
Curtice Advani,Canada,Eclairs,5/6/2022, $ 721.00 ,203
Roddy Speechley,India,Drinking Coco,5/31/2022," $ 4,494.00 ",11
Van Tuxwell,Australia,Mint Chip Choco,1/13/2022," $ 2,674.00 ",295
Dennison Crosswaite,USA,70% Dark Bites,3/15/2022, $ 658.00 ,77
Andria Kimpton,Canada,Peanut Butter Cubes,2/16/2022," $ 1,127.00 ",319
Gigi Bohling,USA,70% Dark Bites,1/14/2022," $ 7,364.00 ",196
Rafaelita Blaksland,Australia,White Choc,3/21/2022," $ 6,818.00 ",102
Roddy Speechley,Canada,Drinking Coco,5/17/2022," $ 6,776.00 ",312
Camilla Castle,New Zealand,85% Dark Bars,8/8/2022," $ 15,099.00 ",55
Madelene Upcott,Canada,Milk Bars,4/26/2022," $ 3,612.00 ",82
Madelene Upcott,Australia,70% Dark Bites,4/15/2022," $ 3,710.00 ",260
Oby Sorrel,Canada,Eclairs,5/19/2022," $ 6,111.00 ",591
Dennison Crosswaite,Canada,Drinking Coco,1/10/2022," $ 2,702.00 ",24
Mallorie Waber,New Zealand,After Nines,5/4/2022, $ 483.00 ,228
Roddy Speechley,Canada,White Choc,4/5/2022," $ 5,887.00 ",268
Andria Kimpton,India,After Nines,1/17/2022, $ 952.00 ,68
Roddy Speechley,India,Spicy Special Slims,3/22/2022," $ 10,647.00 ",173
Dotty Strutley,Australia,White Choc,7/5/2022," $ 6,055.00 ",93
Oby Sorrel,Canada,Orange Choco,4/27/2022," $ 8,757.00 ",338
Kaine Padly,Canada,Almond Choco,8/12/2022," $ 6,055.00 ",73
Jan Morforth,UK,Baker's Choco Chips,3/11/2022, $ 721.00 ,251
Jehu Rudeforth,UK,Fruit & Nut Bars,5/13/2022," $ 8,589.00 ",229
Dennison Crosswaite,USA,Smooth Sliky Salty,5/12/2022," $ 11,781.00 ",91
Brien Boise,USA,Raspberry Choco,1/12/2022, $ 672.00 ,194
Madelene Upcott,New Zealand,Milk Bars,3/29/2022," $ 12,558.00 ",403
Roddy Speechley,India,50% Dark Bites,3/14/2022," $ 8,337.00 ",12
Barr Faughny,New Zealand,99% Dark & Pure,5/24/2022," $ 8,134.00 ",195
Dennison Crosswaite,Canada,Organic Choco Syrup,1/28/2022," $ 8,491.00 ",75
Beverie Moffet,India,Almond Choco,5/24/2022," $ 3,066.00 ",96
Brien Boise,Australia,Peanut Butter Cubes,8/19/2022, $ 301.00 ,205
Karlen McCaffrey,Australia,Spicy Special Slims,5/17/2022," $ 4,410.00 ",323
Jehu Rudeforth,USA,White Choc,6/7/2022," $ 6,559.00 ",119
Ches Bonnell,Canada,Organic Choco Syrup,7/26/2022, $ 574.00 ,217
Dotty Strutley,India,Eclairs,7/28/2022," $ 2,086.00 ",384
Karlen McCaffrey,India,70% Dark Bites,5/23/2022," $ 5,075.00 ",344
